docid,author,bibliography,body,title
715,"allen,h.j.","naca tn.4048, 1957.","motion of a ballistic missile angularly misaligned with the flight path upon entering the atmosphere and its effect upon aerodynamic heating, aerodynamic loads and miss distance .   an analysis is given of the oscillating motion of a ballistic missile which upon entering the atmosphere is angularly misaligned with respect to the flight path .  the history of the motion for some example missiles is discussed from the point of view of the effect of the motion on the aerodynamic heating and loading . the miss distance at the target due to misalignment and to small accidental trim angles is treated .  the stability problem is also discussed for the case where the missile is tumbling prior to atmospheric entry .","motion of a ballistic missile angularly misaligned with the flight path upon entering the atmosphere and its effect upon aerodynamic heating, aerodynamic loads and miss distance ."
716,"sommer,s.c. and tobak,m.","nasa memo 3-2-59a, 1959.",study of the oscillatory motion of manned vehicles entering the earth's atmosphere .   an analysis is made of the oscillatory motion of vehicles which traverse arbitrarily prescribed trajectories through the atmosphere . expressions for the oscillatory motion are derived as continuous functions of the properties of the trajectory .   results are applied to a study of the oscillatory behavior of re-entry vehicles which have decelerations that remain within limits of human tolerance .  it is found that a deficiency of aerodynamic damping for such vehicles may have more serious consequences than it does for comparable ballistic missiles .,study of the oscillatory motion of manned vehicles entering the earth's atmosphere .
721,"callaghan,e.e., howes,w.l. coles,w.d. and mull,r.h.",naca r.1338.,"near noise field of a jet engine exhaust .   aircraft structures located in the near noise field of a jet engine are subjected to extremely high fluctuating pressures that may cause structural fatigue .  studies of such structures have been limited by lack of knowledge of the loadings involved .   the acoustic near field produced by the exhaust of a stationary turbojet engine having a high pressure ratio was measured for a single operating condition without afterburning .  the maximum over-all sound pressure without afterburning was found to be about 42 pounds per square foot along the jet boundary in the region immediately downstream of the jet-nozzle exit . with afterburning the maximum sound pressure was increased by 50 percent .  the largest sound pressures without afterburning were obtained on a constant percentage band width basis in the frequency range from 350 to 700 cps .   additional tests were made at a few points to find the effect of jet velocity on near-field sound pressures and to determine the difference in value between sound-pressure levels at rigid surfaces and corresponding free-field values .  near the jet nozzle, over-all sound pressures were found to vary as a low power (approx. unity) of the jet velocity .  over-all sound-pressure levels considerably greater than the corresponding free-field levels were recorded at the surface of a rigid plate placed along the jet boundary .   the downstream locations of the maximum sound pressure at any given frequency along the jet-engine-exhaust boundary and the longitudinal turbulent-velocity maximum of the same frequency along a small cold-air jet at 1 nozzle-exit radius from the jet axis were found to be nearly the same when compared on a dimensionless basis .  also, the strouhal number of the corresponding spectra maximums was found to be nearly equal at similar distances downstream .   in addition to the magnitude and frequency distribution of the acoustic pressures, it is necessary to know the cross correlation of the pressure over the surface area .  cross-correlation measurements with microphones were made for a range of jet velocities at locations along the jet and at a distance from the jet .  free-field correlations of the over-all sound pressure and of the sound pressure in frequency bands from 100 to 1000 cps were obtained both longitudinally and laterally .  in addition, correlations were obtained with microphones mounted at the surface of a rigid plate that was large compared with the distance over which a positive correlation existed .   the region of positive correlation was generally found to increase with distance downstream of the engine to 6.5 nozzle-exit diameters, but remained nearly constant thereafter .  in general, little change in the correlation curves was found as a function of jet velocity or frequency-band width .  the distance from unity correlation to the first zero correlation was greater for lateral than for longitudinal correlations for the same conditions and locations .  the correlation curves obtained in free space and on the surface of the plate were generally similar .   the results are interpreted in terms of pressure loads on surfaces .",near noise field of a jet engine exhaust .
722,"clarkson,b.l. and ford,r.d.",univ. southampton r. a.a.s.u.171.,"random excitation of a tailplane section by jet noise .   the response of a section of tailplane structure to both discrete and random noise pressures has been studied in detail .  initially the specimen was mounted behind a jet engine and the induced strains were analysed with the object of determining both the resonant frequencies and the corresponding modes of vibration .  during these tests a survey was made of the spectrum and correlation pattern of the jet noise on the surface of the model .  secondly the specimen was mounted in front of a loudspeaker in an acoustics laboratory and the structural resonances were excited by means of discrete frequency sound .  the mode shapes were studied in detail with the aid of a stroboscope .   it is concluded that the tailplane skin on this particular piece of structure only responds to any significant degree in one structural mode .  although reasonable comparison has been obtained between the random and discrete tests, it was not possible to calculate the induced stresses using the observed mode shapes and measured pressure excitation .",random excitation of a tailplane section by jet noise .
723,alan powell,"the university, southampton","on the fatigue failure of structures due to vibrations excited by random pressure fields . on the assumption that the forced modes of vibration of a structure, subjected to pressure fluctuations random in time and space, can be approximated by the composition of the motions of the uncoupled natural modes, a general analysis is made using the ideas of vibration theory and spectrum analysis .  the power spectrum, and hence the rms value, of any quantity depending linearly upon structural distortions is derived and it involves a quantity (called the /joint acceptance/) concerning the spacewise structure of the pressure field and of the geometry of the modes of vibration .  it is shown how this result may be used (on assuming /normal/ randomness) to estimate the fatigue life on the hypothesis of cumulative damage .",on the fatigue failure of structures due to vibrations excited by random pressure fields .
724,"schjeldrup,h.c.",air eng. 1959.,"structural acoustic proof testing . with the introduction of high-powered propulsion systems, and paralleling their continued development, an accompanying increase in acoustical problems has arisen .   of these acoustical problems, that of acoustical fatigue failures has become paramount in the eyes of the structural engineer .  aircraft designed to normal strength requirements have been known literally to fall apart under acoustical loading .  this problem has required much endeavour to produce a solution, and considerable structural research, based upon results of siren or other testing, have proved inadequate .  this failure to find a satisfactory solution has resulted in the conviction that the final proof of a design can be found only in proof testing .  proof testing, in the acoustic fatigue sense, is the testing of a design structure in a simulated acoustical environment for a period of time long enough to assure equality with design life .",structural acoustic proof testing .
725,"clarkson,b.l. and ford,r.d.",j. roy. aero. soc. 1962.,the response of a typical aircraft structure to jet noise .   an analysis is made of experimentally determined mode shapes excited on the rear structure of a modern airliner by jet noise from a pod-mounted turbojet engine .  power spectra of stresses determined from strain-gage measurements are obtained and cross correlated .  extensive measurements were made on skin panels of the fuselage and elevator and limited ones were made on fuselage stringers and frames .  the skin-panel results are compared with theoretical predictions .  reviewer believes that this paper is of considerable value for those concerned with response of aircraft-type structures to jet-induced noise .,the response of a typical aircraft structure to jet noise .
726,"miles,j.w.","j. ae. scs. 21, 1954, 753.","on structural fatigue under random loading .   experience has shown that the fluctuating loads induced by a jet may cause fatigue failure of aircraft structural components . in order to throw some light on this and similar problems, the stress spectrum and the /equivalent fatigue stress/ of an elastic structure subjected to random loading are studied .  the analysis is simplified by assuming the structure to have only a single degree of freedom and by using the concept of cumulative damage, the results being expressed in terms of quantities that can be directly measured .  as an example, a similarity expression for the probable value of the equivalent fatigue stress of a panel subjected to jet buffeting is derived .",on structural fatigue under random loading .
727,"hess,r.w., herr,r.w. and mayes,w.h.",nasa tn.d1.,"a study of the acoustic fatigue characteristics of some flat and curved aluminium panels exposed to random and discrete noise .   a study was made of the fatigue life of simple 2024-t3 aluminum-alloy panels measuring 11 by 13 inches and exposed to both discrete-frequency noise from a siren and random noise from an air jet .  noise levels varied from approximately panel variables included thickness, edge conditions, curvature, and static-pressure differential .   no significant differences were noted in the nature of failures experienced for the two types of loadings . at a given root-mean-square stress level, the failure times were generally shorter for the random loading than for the discrete-frequency loading .  these differences in failure times were noted to be a function of stress level, the larger differences occurring at the lower stress levels .   increases in time to failure were obtained as a result of increased panel thickness, increased panel curvature, and particularly for increased static-pressure differential across curved panels .   for the discrete-type loading, the location of weak points in these simplified structural designs can be satisfactorily accomplished but quantitative predictions of fatigue life are much more difficult .",a study of the acoustic fatigue characteristics of some flat and curved aluminium panels exposed to random and discrete noise .
728,"lin, y.k.",j. appl. mech. december 1960 .,"free vibrations of continuous skin stringer panels . the determination of the natural frequencies and normal modes of vibration for continuous panels, representing more or less typical fuselage skin-panel construction for modern airplanes, is discussed in this paper are considered . a numerical example is presented, and analytical results for a particular structural configuration agree favorably with available experimental measurements .",free vibrations of continuous skin stringer panels .
739,"von karman,t. and tsien,h.s.","j. ae. scs. 8, 1941, 303.","the buckling of thin cylindrical shells under axial compression . in two previous papers the authors have discussed in detail the inadequacy of the classical theory of thin shells in explaining the buckling phenomenon of cylindrical and spherical shells .  it was shown that not only the calculated buckling load is 3 to 5 times higher than that found by experiments, but the observed wave pattern of the buckled shell is also different from that predicted .  furthermore, it was pointed out that the different explanations for this discrepancy advanced by l. h. donnell and w. flugge are untenable when certain conclusions drawn from these explanations are compared with the experimental facts . by a theoretical investigation on spherical shells the authors were led to the belief that in general the buckling phenomenon of curved shells can only be explained by means of a non-linear large deflection theory . this point of view was substantiated by model experiments on slender columns with non-linear elastic support .  the non-linear characteristics of such structures cause the load necessary to keep the shell in equilibrium to drop very rapidly with increase in wave amplitude once the structure started to buckle .  thus, first of all, a part of the elastic energy stored in the shell is released once the buckling has started,. this explains the observed rapidity of the buckling process . furthermore, as it was shown in one of the previous papers the buckling load itself can be materially reduced by slight imperfections in the test specimen and vibrations during the testing process .   in this paper, the same ideas are applied to the case of a thin uniform cylindrical shell under axial compression .  first it is shown by an approximate calculation that again the load sustained by the shell drops with increasing deflection .  then the results of this calculation are used for a more detailed discussion of the buckling process as observed in an actual testing machine .",the buckling of thin cylindrical shells under axial compression .
740,"leggett,d.m.a. and jones,r.p.n.","arc r + m.2190, 1942.","the behaviour of a cylindrical shell under axial compression when the buckling load has been exceeded .   the value of the compressive stress at which a thin circular cylindrical shell becomes unstable has been worked out theoretically by southwell (1914) .  subsequent experimental results, however, have indicated that this value is appreciably too high and that the form of distortion which occurs in practice differs from that assumed in theory .   in recent years much work has been done on this problem in america .  lundquist (1933) and donnell (1934) have concluded that the buckling of a cylindrical shell is greatly influenced by initial irregularities,. von karman and tsien (1941) have indicated that a thin cylindrical shell can be maintained in a buckled state by a compressive load considerably smaller than that previously predicted by theory .   the present paper is an extension of the work of von karman and tsien .  it shows that the smallest load which will keep a thin cylindrical shell in a buckled condition is about one-third of that given by southwell, a result in very fair agreement with experiment, and that once the cylinder has buckled, and so long as the stresses remain within the elastic range of the material, the cylinder has only about one-quarter of its original stiffness .",the behaviour of a cylindrical shell under axial compression when the buckling load has been exceeded .
742,"kempner,j.","j. ae. scs. 21, 1954, 329.","post-buckling behaviour of axially compressed circular cylinder shells .   the postbuckling characteristics of an axially compressed thin-walled circular cylindrical shell loaded either by dead weights or by a rigid testing machine are determined .  it is shown that for either loading condition the minimum applied stress in the postbuckling region is 0.182(er) and that the region of stable equilibrium corresponding to loading by the rigid testing machine includes and extends beyond that obtained with dead weight loading .  the work here described is a continuation of work done earlier by von karman and tsien, by michielsen, and by leggett and jones .",post-buckling behaviour of axially compressed circular cylinder shells .
743,w. f. thielemann,"deutsche versuchsanstalt fur luftfahrt mulheim (ruhr), germany",new developments in the nonlinear theories of the buckling of thin cylindrical shells . in the present paper a short survey will be given first of the buckling and postbuckling behavior of isotropic cylindrical shells subjected to different loading conditions as obtained by the nonlinear theory of finite deflections of shells during the last twenty years . next a report will be given on new investigations carried out in the structures department of the dvl concerning the elastic stability of isotropic and orthotropic cylindrical shells loaded in axial compression and internal pressure .  these studies are based on the nonlinear theory of finite deformations .  the theoretical rsults will be compared with new experimental results obtained with a series of axially loaded pressurized isotropic and orthotropic cylindrical shells .,new developments in the nonlinear theories of the buckling of thin cylindrical shells .
744,"tsien,h.s.","q. app. math. 5, 1947, 236.","lower buckling load in the non-linear buckling theory of thin shells .   for thin shells the relation between the load p and the deflection beyond the classical buckling load is very often non-linear .  for instance, when a uniform thin circular cylinder is loaded in the axial direction, the load p when plotted against the end-shortening has the characteristic shown in fig. 1 .  if the strain energy s and the total potential are calculated, their behavior can be represented by the curves shown in figs. 2 and 3 .  it can be demonstrated that the branches oc and ab corresponds to stable equilibrium configurations and the branch bc to unstable equilibrium configurations .  the point b is then the point of transition from stable to unstable equilibrium configurations .",lower buckling load in the non-linear buckling theory of thin shells .
746,"broadbent,e.g.",j. roy. aero. soc. 1956.,"aeroelastic problems in connection with high speed flight .   a review is given of developments in the field of aeroelasticity during the past ten years .  the effect of steadily increasing mach number has been two-fold ..  on the one hand the aerodynamic derivatives have changed, and in some cases brought new problems, and on the other hand the design for higher mach numbers has led to thinner aerofoils and more slender fuselages for which the required stiffness is more difficult to provide .  both these aspects are discussed, and various methods of attack on the problems are considered .  the relative merits of stiffness, damping and massbalance for the prevention of control surface flutter are discussed .  a brief mention is made of the recent problems of damage from jet efflux and of the possible aeroelastic effects of kinetic heating .",aeroelastic problems in connection with high speed flight .
763,"weingarten,v.i.",,"effects of internal pressure on the buckling of circular-cylindrical shells under bending.   the effect of internal pressure on the small-deflection buckling of thin-walled cylinders under bending is investigated by means of a modified donnell equation .  the results indicate that the maximum critical stress due to bending increases with internal pressure, unlike the case of pressurized cylinders under compression .  these results represent the moment at which significant deformations appear in the cylinder, rather than the maximum moment able to be carried, but may be a good approximation to the latter for metal cylinders .",effects of internal pressure on the buckling of circular-cylindrical shells under bending.
766,"dixon,s.c.","nasa tn.d1485, 1962.","experimental investigation at mach number of 3. 0 of effects of thermal stress and buckling on flutter characteristics of flat single-bay panels of length-width ratio 0. 96 .   flat, single-bay, skin stiffener panels with length-width ratios of 0.96 were tested at a mach number of 3.0, at dynamic pressures ranging from 1,500 to stagnation temperatures from 300 f to effects of thermal stress and buckling on the flutter of such panels .  the panel supporting structure allowed partial thermal expansion of the skins in both the longitudinal and lateral directions .  panel skin material and skin thickness were varied .   a boundary faired through the experimental flutter points consisted of a flat-panel portion, a buckled-panel portion, and a transition point, at the intersection of the two boundaries, where a panel is most susceptible to flutter . the flutter region consisted of two fairly distinct sections, a large-amplitude flutter region and a small-amplitude flutter region .  the results show that an increase in panel skin temperature flutter .  the flutter trend for buckled panels is reversed .  use of a modified temperature parameter, which approximately accounts for the effects of differential pressure and variations in panel skin material and skin thickness, reduced the scatter in the data which resulted when these effects were neglected .  the results are compared with an exact theory for clamped panels for the condition of zero midplane stress .  in addition, a two-mode /transtability/ solution for clamped panels is compared with the experimentally determined transition point .",experimental investigation at mach number of 3. 0 of effects of thermal stress and buckling on flutter characteristics of flat single-bay panels of length-width ratio 0. 96 .
779,"drischler, j.a.","naca tn 3748, october 1956","calculation and compilation of the unsteady lift functions for a rigid wing subjected to sinusoidal gusts and to sinusoidal sinking oscillations . the total lift responses of wings to sinusoidal gusts and to sinusoidal vertical oscillations are calculated from the response to gust penetration and to a sudden change in sinking velocity through use of the well-established reciprocal relations for unsteady flow . the cases considered are two-dimensional wings in incompressible, subsonic compressible, sonic, and supersonic flow,. elliptical and rectangular wings  in incompressible flow,. wide rectangular and delta wings in supersonic  flow,. and delta wings of vanishingly low aspect ratio in incompressible and compressible flow . for most of the cases considered, closed-form expressions are given and the final results are presented in  the form of plots of the square of the modulus of the lift coefficient for wings in a sinusoidally oscillating gust and in the form of the real  and imaginary parts of the lift component for wings undergoing sinusoidal sinking oscillations . a summary table is presented as a guide to  the scope and results of this paper,. this table contains the figure and equation numbers for the types of flow and plan forms considered .",calculation and compilation of the unsteady lift functions for a rigid wing subjected to sinusoidal gusts and to sinusoidal sinking oscillations .
793,"hall, i.m. and rogers, e.w.e.","a.r.c. r + m 3271, part 1, july 1960 .","the flow pattern on a tapered sweptback wing at mach numbers between 0.6  and 1.6 . the development of the flow pattern on a swept wing with incidence and stream mach number is described . the wing, of aspect ratio 2 828, taper ratio 0 333 and leading-edge sweep 53 5 deg, was tested at mach numbers between 0 6 and 1 6 at incidences up to about 12 deg . the test reynolds number varied with mach number, being typically 2 3 x 10 at m leading edge . it is shown that the flow pattern at moderate incidences develops smoothly from a subsonic type involving leading-edge separation to a supersonic type where the flow is attached near the leading edge and with shock-induced separation further aft . the formation and movement of the shock-wave system and the vortices near the wing surface are briefly discussed .",the flow pattern on a tapered sweptback wing at mach numbers between 0.6  and 1.6 .
794,"hall, i.m. and rogers, e.w.e.","a.r.c. r + m 3271, part ii, july 1960 .","experiments with a tapered swept-back wing of warren 12 planform at mach  numbers between 0.6 and 1.6 . the development of the flow pattern on a wing of aspect ratio 2 828, taper ratio 0 333, leading-edge sweepback 53 5 deg and 6 per cent thickness/chord ratio in the streamwise direction has been described in part 1, which discussed oil-flow patterns obtained on the surface of the  wing . the complete programme of tests also included pressure plotting at four spanwise stations and force measurements . these are discussed in relation to the flow development in this part of the report . the wing was tested at mach numbers between 0 6 and 1 6 for incidences up to about 14 deg . the tunnel stagnation pressure was held constant at a value near atmospheric pressure during the tests, so that the reynolds  number varied with mach number .. at m 1 0 it was 2 3 x 10 based on the  mean aerodynamic chord . boundary-layer transition was fixed by a roughness band at the leading edge . a detailed analysis has been made of the pressure distributions on the surface of the wing and the chordwise distributions integrated to determine the spanwise loading . the overall lift and pitching moment of  the wing were also obtained from these data, as well as from direct measurements using a strain-gauge balance, by means of which the wing drag was also determined . these results are considered in some detail to illustrate the effects of mach number and incidence on the flow about  the model . a preliminary analysis is also made of the conditions for boundary-layer separation due to shock waves on the wing surface . the principal factor appears to be the component of mach number normal to the shock front .",experiments with a tapered swept-back wing of warren 12 planform at mach  numbers between 0.6 and 1.6 .
797,"rogers, e.w e., townsend, j.e.g. and berry, c.j.","a.r.c., r + m 3270, may 1960 .","a study of the effect of leading-edge modifications on the flow over a 50degree sweptback wing at transonic speeds . summary . an investigation has been made in the n.p.l. 18 in. x 14 in . tunnel of the effects of leading-edge modifications on the flow and forces on an untapered wing of 50 deg leading-edge sweep, at stream mach  numbers between 0 60 and 1 20 . seven leading-edge profiles were tested, ranging from a drooped extension of 18 per cent of the chord of the basic sharp-nosed section to a round-nosed section with a leading-edge radius of 1 0 per cent of the basic chord . leading-edge droop was found to increase the wing drag near zero lift but to reduce appreciably the lift-dependent drag component, except at the highest test mach numbers . droop also increased the lift coefficient at which leading-edge separation occurred on the upper surface at moderate subsonic speeds, but in addition reduced the mach number for  transonic flow attachment . the appearance of the forward shock /but not the rear shock/ is considerably delayed when the leading edge is drooped . with the undrooped sections an increase in leading-edge radius was accompanied by successively earlier appearances of the forward shock, and hence the outboard shock with its attendant separation . the conditions at which the rear shock first appeared changed only slowly as the section was changed . the variations in wing flow pattern as the leading edge is modified are discussed and related to measured changes in the wing lift and drag . an attempt is also made to estimate the local mach numbers on some parts  of the wing from the oil-flow patterns,. this material is used to assess the flow conditions appropriate to shock-induced separation . the main section of the report concludes with a tentative discussion of the significance of the present results to the design of swept wings . in an appendix results obtained with the wing in a sweptforward configuration are briefly considered .",a study of the effect of leading-edge modifications on the flow over a 50degree sweptback wing at transonic speeds .
798,"holder, d.w., pearcey, h.h. and gadd, g.e.","a.r.c., c.p. 180, february 1954 .","interaction between shock waves and boundary layers, with a note on the effects of the interaction of the performance of supersonic intakes . the interaction between shock waves and boundary layers has important effects in many problems of high-speed flow . this paper has been written as a guide to the literature on the subject, and as a critical review of the present state of knowledge concerning both the underlying physical processes and the practical applications . it will be clear to the reader that, although substantial progress has been made, our knowledge is still far from complete and that more work both of a fundamental nature and on specific applications is needed before the problem is understood sufficiently well for design purposes . part i of the paper describes experiments on comparatively simple types of flow designed to provide fundamental information and to assist in the  development of the theory . these experiments show that the interaction  depends mainly on the mach and reynolds numbers and on the strength of the shock wave . in particular, the interaction of a shock wave with a laminar boundary layer is shown to produce much larger effects than if the boundary layer is turbulent . for most cases where the effects of the interaction are large enough to have serious practical consequences it is found that the boundary layer separates from the surface, and the difference between the interaction with laminar and turbulent layers arises mainly because the laminar layer separates much more readily in an adverse pressure gradient . the details of the interaction downstream  of the separation point thus depend critically on the behaviour of the separated layer, and on the conditions under which it reattaches to the surface . many of the features found in the fundamental experiments appear also in  practical applications and these are considered in parts ii and iii of the paper . although the emphasis hero is on the performance of aerfoils and wings moving at high subsonic speeds, the importance of the interaction in other examples such as at supersonic trailing edges and in supersonic intakes is also discussed briefly . the differences between the interaction with laminar and turbulent boundary layers are often a source of serious discrepancy between model experiments and full-scale conditions . for small-scale models it is, therefore, frequently essential to make the boundary layer turbulent by artificial means . some of the difficulties involved in doing this, and certain of the more promising methods are briefly discussed . it is shown that experiments on models with transition fixed can be used to explain a number of aerodynamic effects encountered in transonic flight, and connected with the occurrence of shock-induced separation of the turbulent boundary layers . for both two-dimensional aerofoils and straight  and sweptback wings, turbulent separation occurs for shocks above a certain strength which applies for both model and full-scale conditions full-scale conditions,. differences in magnitude would be expected if the pressure recovery along the separated layer between the shock and the trailing edge is affected by reynolds number, but little information  is at present available on this point . most of the repercussions of turbulent separation on the steady-motion characteristics of aerofoils and wings can be traced to the associated reduction in the pressure recovery over the roar of the surface . this is because the pressure at the trailing edge controls the inter-relation  between the two surfaces /so long as the flow at the trailing edge remains subsonic/, and in particular the relative movements of the shock  waves and the extents of the local regions of supersonic flow . certain  unsteady-flow characteristics such as buffeting and control surface separation . some evidence is presented on the influence of section shape on the occurrence and effects of separation, but in this, as in many other respects, information relevant to turbulent boundary layers is scarce . some notes on the further work which is required are given in part iv of  the paper .","interaction between shock waves and boundary layers, with a note on the effects of the interaction of the performance of supersonic intakes ."
799,"pearcey, h.h., sinnott, c.s. and osborne, j.",n.p.l. aero. 373. february 1959 .,"some effects of wind-tunnel interference observed in tests on two-dimensional aerofoils at high subsonic and transonic speeds . in the high-speed research on two-dimensional aerofoils at the national physical laboratory the need to keep model size above a certain minimum,  in order to reproduce correctly the boundary layer separation effects experienced at full scale, has been considered paramount even at the risk of incurring significant tunnel interference effects . this report discusses the interference effects for the slotted working sections now in use . the magnitudes of the blockage and lift effect corrections are deduced for the ratio of model chord to tunnel height normally used . it is shown that a simple adaptation to reduce the open area of the walls would reduce both corrections to insignificant proportions simultaneously, but would give a reduced choking mach number separated flows . the observed trends in the variation of the blockage effects for other ratios of model chord to tunnel height differ from those predicted theoretically, and so the results cannot be applied more  generally until these trends have been checked by further investigations . it is suggested that wake interference effects can significantly influence the manner in which separated flows develop with increasing incidence or mach number, particularly for walls of small open area . examples are also given of effects of distortions in the local supersonic flow, which are most noticeable for walls with relatively large open areas .",some effects of wind-tunnel interference observed in tests on two-dimensional aerofoils at high subsonic and transonic speeds .
800,"rogers, e.w.e. and hall, i.m.","a.r.c., c.p. 510, september 1959 .","wall interference at transonic speeds on a hemisphere cylinder model . tests have been made in three n.p.l. wind tunnels on a pressure-plotting  model consisting of a long cylinder with a hemispherical nose . the surface pressure distributions were measured for stream mach numbers between 0.7 and 1.1 at zero model incidence, and schlieren photographs were taken . the blockage ratios were 0.211(, 0.117( and 0.120( . the principal feature of the flow is the effect of working section size on the rate at which the terminal shock wave moves back along the model with increasing stream mach number . this is thought to depend mainly on the distance from the model to the slotted walls of the tunnel, and not necessarily on the blockage ratio . the distance of the solid sidewall is important in influencing the local mach number ahead of the terminal shock, by reflecting the expansion-wave system originating near  the model nose .",wall interference at transonic speeds on a hemisphere cylinder model .
801,"page,w.a.","naca tn.4233, 1958.","experimental study of the equivalence of transonic flow about slender cone-cylinders of circular and elliptic cross section .   this report describes an experimental investigation of the equivalence relationship and the related theory for lifting forces proposed by transonic slender-body theory .  the models chosen for this study are a flat, winglike, elliptic cone-cylinder and its equivalent body of revolution, a circular cone-cylinder .  it is determined that the flows about the two models are closely related in the manner predicted by the theory, the relationship persisting over a mach number range of 0.92 to cone-cylinder vary linearly only over the small angle-of-attack range of approximately 1 and that the aerodynamic loading at sonic speed compares favorably with jones' slender-wing theory .   the results of the investigation suggest that at transonic speeds and at small angles of attack the calculation of all aerodynamic characteristics of slender, three-dimensional shapes can be made by use of transonic slender-body theory when the pressures on the equivalent body of revolution are known, either by experiment, or by an adequate nonlinear theory .  from transonic slender-body theory it is deduced that the slenderness required for this application is the same as that required for the successful application of the transonic area rule .",experimental study of the equivalence of transonic flow about slender cone-cylinders of circular and elliptic cross section .
802,"whitham,g.b.","proc. roy. soc. a, 201, 1950, 89.","the behaviour of supersonic flow past a body of revolution far from the axis . a theory is developed of the supersonic flow past a body of revolution at large distances from the axis, where a linearized approximation is valueless owing to the divergence of the characteristics at infinity . it is used to find the asymptotic forms of the equations of the shocks which are formed from the neighbourhoods of the nose and tail .  in the special case of a slender pointed body, the general theory at large distances is used to modify the linearized approximation to give a theory which is uniformly valid at all distances from the axis .  the results which are of physical importance are summarized in the conclusion (9) and compared with the results of experimental observations .",the behaviour of supersonic flow past a body of revolution far from the axis .
803,"walkden,f.","aero. quart. 9, 1958, 164.","the shock pattern of a wing-body combination far from the flight path .   the position and strength of the front shock wave at large distances from a wing-body combination, are deduced from the linear theory for the combination, using a method developed by whitham .  the combination consists of a body of revolution and a wing which has thickness and is lifting .  the effects of interference between the flow over the body and the flow over the wing are included .  in any direction the flow far from the wing-body combination is equivalent to the flow past a body of revolution determined from the configuration of the combination .  the modified formulae for unsteady flow are given and some results are evaluated for the combination of a body of revolution and a delta wing with subsonic leading edges .",the shock pattern of a wing-body combination far from the flight path .
807,"maglieri,d.j. and hubbard,h.h.","nasa tn.d880, 1961.","ground measurements of the shock wave noise from supersonic bomber airplanes in the altitude range from 30,000 to 50,000 feet .   shock-wave ground-pressure measurements have been made for supersonic bomber airplanes in the mach number range from 1.24 to 1.52, for altitudes from about 30,000 to 50,000 feet, and for a gross-weight range from about 83,000 to 120,000 pounds .  the measured overpressures were generally higher than would be predicted by the theory which accounts only for volume effects .  there is thus a suggestion that lift effects on sonic-boom intensity may be significant for this type of airplane for the altitude range of the present tests .","ground measurements of the shock wave noise from supersonic bomber airplanes in the altitude range from 30,000 to 50,000 feet ."
808,"carlson,h.w.","nasa tn.d161, 1959.","an investigation of some aspects of the sonic boom by means of wind tunnel measurements of pressures about several bodies at a mach number of 2. 01 .   an investigation of some aspects of the sonic boom has been made with the aid of wind-tunnel measurements of the pressure distributions about bodies of various shapes .  the tests were made in the langley at a mach number of 2.01 and at a reynolds number per foot of 2.5 x 10 . measurements of the pressure field were made at orifices in the surface of a boundary-layer bypass plate .  the models which represented both fuselage and wing types of thickness distributions were small enough to allow measurements as far away as 8 body lengths or 64 chords .  the results are compared with estimates made using existing theory .   to the first order, the boom-producing pressure rise across the bow shock is dependent on the longitudinal development of body area and not on local details .  nonaxisymmetrical shapes may be replaced by equivalent bodies of revolution to obtain satisfactory theoretical estimates of the far-field pressures .",an investigation of some aspects of the sonic boom by means of wind tunnel measurements of pressures about several bodies at a mach number of 2. 01 .
809,"carlson,h.w.","nasa tn.d881, 1961.","an investigation of the influence of lift on sonic-boom intensity by means of wind tunnel measurements of the pressure fields of several wing-body combinations at a mach number of 2. 01 .   an investigation of the effect of lift on sonic-boom intensity has been performed by means of wind-tunnel measurements of the pressure fields surrounding small wing-body combinations . the tests were conducted in the langley 4- by 4-foot supersonic pressure tunnel at a mach number of per foot .  effects of lift were found to be real and significant . measured bow-shock intensities agreed fairly well with, but were consistently less than, shock intensities estimated by theoretical methods . available flight data were examined for correlation with wind-tunnel test results .",an investigation of the influence of lift on sonic-boom intensity by means of wind tunnel measurements of the pressure fields of several wing-body combinations at a mach number of 2. 01 .
811,"morris,j.","j. roy. aero. soc. 64, 1960, 610.","an investigation of lifting effects on the intensity of sonic booms .   this paper is a brief summary of an investigation made to check the effect of lift on the shock noise of aircraft flying at supersonic speeds .  the method of hayes has been combined with the theory of whitham to predict the asymptotic shock strength of wings carrying lift and of combinations of bodies and lifting wings .  (a similar, but not quite as general, method was derived by walkden in ref. 6 .)  whitham's formula, including only the volume term, has been used extensively to predict the boom intensity of aeroplane type bodies and the agreement with experiment has, so far, been quite reasonable .  the test data obtained to date extends only up to about 40,000 ft. altitude and the calculations of this paper show that under those conditions the shock noise of the aircraft tested so far will, in most cases, be dominated by the volume term .  it is shown that at higher altitudes lifting effects will dominate for even the small fighter and they will dominate over most of the altitude range for large bomber and supersonic transport aircraft .  the boom intensity due to lift decreases with altitude as which compares to in the volume case (=pressure at altitude h) .  it is insensitive to mach number, wing loading, wing plan shape and lift distribution .  a simple rule for calculating the shock noise due to combined volume and lifting effects is proposed which is applicable to configurations with wings located towards the rear of the fuselage .  the rule states that the shock noise of an aircraft carrying lift is equal to the shock noise due to volume (neglecting lift) or the shock noise due to lift (neglecting volume), whichever is the greater .  a chart is presented from which rapid estimates can be made of the shock noise of lifting wing-body combinations .",an investigation of lifting effects on the intensity of sonic booms .
